id,text
1,"청년들이 이용할 수 있는 취업 지원 정보가 한곳에 모이면 좋겠습니다."
2,"지역 청년을 위한 상담 시간이 평일 저녁에도 있었으면 합니다."
3,"창업을 시작할 때 사업계획서 작성과 세금 관련 교육이 필요합니다."
4,"공유 작업 공간의 좌석과 회의실 예약이 더 편리해지면 좋겠습니다."
5,"주거 지원 정책을 쉽게 비교할 수 있는 안내가 있었으면 합니다."
6,"월세 부담이 커서 청년 대상 주거비 지원을 확대해 주세요."
7,"취업 준비를 위한 현직자 멘토링과 포트폴리오 피드백을 받고 싶습니다."
8,"지역 기업의 채용 정보를 정기적으로 알려주면 좋겠습니다."
9,"창업 아이디어를 검증할 수 있도록 전문가 상담과 테스트 비용을 지원해 주세요."
10,"작업 공간에 조용히 집중할 수 있는 좌석이 더 많았으면 합니다."
11,"청년 주거 정책의 신청 자격과 제출 서류를 한눈에 보고 싶습니다."
12,"상담 예약을 모바일에서 하고 방문 전에 필요한 정보를 받을 수 있으면 합니다."
13,"취업 교육이 이론보다 실제 면접과 자기소개서 작성에 도움이 되었으면 합니다."
14,"지역 창업가들이 서로 경험을 나눌 수 있는 네트워킹 자리를 만들어 주세요."
15,"공유 공간 이용 시간이 너무 짧아서 야간 이용도 가능하면 좋겠습니다."
